"response_id","link_to_system","task","suspicious_element","personal_impact"
1,"mcdonald's mobile app","order food","location services on mobile devices has to on to access any of the store locations and menus. essentially, the app is unusable without location services being enabled with permissions given to the application. other restaurant apps typically ask for a zip code and search for the nearest locations, but not mcdonald's.","privacy vulnerabilities, location data collection, and the general nuisance of having to turn on location services when using the app and turning it off after making an order."
2,"edikted (clothing website) edikted.com","purchase clothing from an online website","when i came across the page about shipping and final steps there was a prechecked box for an optional service fee.","if i hadn't looked closely i would have spent more money then i wanted to."
3,"ziprecruiter: https://www.ziprecruiter.com/jobseeker/home","i was looking for jobs when i got an email from ziprecruiter about employers not being able to find my resume","i already had my resume directly added to my profile, so them asking me to opt in to their resume database seemed strange to promote my resume more.","encountering this pattern made me feel like my resume was not going to ever be found by recruiters because i had not been in their resume database. i felt like i would not be able to find an internship for the summer by using their service."
4,"crunch fitness 
https://www.crunch.com/","cancel membership","when applying for membership, you can apply online but when cancel, you need to be in person in the gym to cancel","it is a waste of time and even money because i cannot be there physically until next month due to being on a trip"
5,"shein – https://www.shein.com","i was trying to purchase a hoodie and check out.","during checkout, a popup showed a ""70% off ending in 00:02:00"" countdown. i reloaded the page twice and the timer reset every time.","yes — it pressured me to buy quicker than i wanted. i almost skipped comparing prices because i thought i’d lose the discount."
6,"warhammer 40k: tacticus","claim rewards for an in-game mission","the button for premium missions, which must be purchased with a real money transaction, is visually the same as the free quests, only differentiated by a small banner above the button. if pressed, the button opens a screen to make a purchase. the buttons in that screen to spend money are also visually similar, and there is a small timer displayed (though it is truthful).","it is a slight annoyance and wastes a small amount of my time, but this is a free mobile game and could easily trick someone else into making a purchase upwards of $24."
7,"kilohearts (newsletter). it is a company that produces audio plugins to use when making music.","reading an e-mail from kilohearts and attempting to unsubscribe since i no longer use their plugins.","when i scrolled down to unsubscribe, the link to unsubscribe was not underlined and very small.","fortunately, i noticed fairly quickly. as such, it only caused me to look for a few more seconds to click the unsubscribe link as it didn't appear like a link. overall, it was a minor annoyance at most."
8,"fortive career page: https://fortive.eightfold.ai/careers/job/893379393197?pid=893379393197&recommended=1","apply to an internship","the job was posted by a third party, when i clicked apply it redirected me to another site that prompted me to upload my resume. the style seemed unusual compared to other jobs i've applied to so i went back to the original link and clicked apply again and i was directed to the real website that was associated with the business and looked normal. i think the first redirect by the third party recruiting company tried to get me to upload my resume to steal my data.","it cost me a little extra time as i had to go through hoops to find the actual website, though i was discouraged from applying due to this experience."
10,"shein app
https://us.shein.com/","i was browsing for clothes on the shein app.","they offered a 31-day trial for only $0.01, but in small text at the bottom, it said the subscription would auto-renew for $9.99 for three months after the trial. the important cost information was hidden, and the design mostly focused on the $0.01 price to make users act quickly without noticing the auto-renewal.","it made me feel unsure about signing up. i spent extra time reading the fine print to make sure i wouldn’t be charged accidentally later. it also made me lose a little trust in the app."
12,"abercrombie & fitch (https://www.abercrombie.com/shop/us/p/essential-baby-tee-56537321?categoryid=6570723&faceout=model&seq=31&afsource=social+proofing)","i was scrolling through instagram, when the ad showed up.","this “1585 people are currently viewing” thing is likely fake urgency, disguised as helpful info. it’s suspicious ux because it plays on your emotions rather than offering real, useful data.","i feel like it created false urgency."
14,"coach outlet 
https://www.coachoutlet.com/shop/women/view-all","browsing hand bags to possibly purchase as a gift.","they list a discount price but it has been that price for weeks. it shows the price now, the comparable price, and the percentage off. it creates a false sense of getting a deal when it's probably just normal price.","it made me question the deal and made me question if i should wait to buy it since it might not actually be on sale."
