"hash_id","response_id","involved_pattern"
"5e850c5b2164e8603dea6da18cfe6419",22,"false errors preventing account transitions"
"4d56a052dd9ec2545fba57307a85f15b",24,"Making you click on a link that could potentially be harmful"
"5e850c5b2164e8603dea6da18cfe6419",35,"nature was bliss"
"8e092ec9b89b7103c2359d4abc744d1a",54,"Companies offering deals to keep customers from cancelling subscriptions because they are counting on the customers not noticing when they raise the price again."
"5e850c5b2164e8603dea6da18cfe6419",61,"making listings from a free account significanstly less visible to pressure into paying for premium services"
"2186fd860a968607fbd1b33bd5ffbc69",64,"said low stock, not that it's gone."
"5e850c5b2164e8603dea6da18cfe6419",124,"none"
"a0af765a42338ed0a2bddd7fc3cce3b2",152,"Fake AI videos"
"27f4668a0361277d8250029799587f07",197,"Appealing to user laziness"
"2b49e651947e0e07092fc3250d47b01c",212,"use addictive algorithm to reinforce engagement loops"
"a0af765a42338ed0a2bddd7fc3cce3b2",238,"Keeps bringing you back to store, keeps making you look at offers."
"2953e5e87133f5a9d0402c611ec6523f",257,"Popups"
"eb3d24eeaafc9ed15391a6eab40384e4",263,"Design Elements that Hide or Delay Disclosure of Material Information"
"fc18d8e695666557c2869e666275169c",287,"Social cues w/ reciprocity"
"8f3e6c234621b584a8db2856547a1e72",290,"Fake ratings and offers (discounts) to grab attention"
"3ab9930600663c445d69ce90a7896ef2",304,"Nothing to report today!"
