"Timestamp","Your name as it appears in Canvas  (Will be anonymized before incidents are shared with the class)","Did you have any interactions today that you suspect might involve a UX Dark Pattern ?","If you reported ""yes"" or ""unsure"" please answer the following questions.

Name and link to the system or service","What were you trying to do?","What was suss?","Did encountering this pattern impact you in any way?  Please explain. 

(Examples of possible impacts include but are not limited to:  
-not achieving what you want to accomplish; 
-hindering what you wanted to accomplish; 
-costing you more time, money, or effort than anticipated/desired; 
-less confidence or less certainty that you have achieved your aim 
-less confidence or less certainty that you have mitigated undesirable consequences; 
-undue emotional labor; 
-possible consequences for others; 
and so on.)","Based on your personal feelings at this time, please mark the degree of concern you have about this incident. 

No concern (1) 
Mild concern (2) 
Moderate concern (3) 
High concern (4) 
Extreme concern(5)","Images or video of a problematic interaction are very helpful for analysis. Did you capture any images or video of the interaction you are reporting on?  (We will reach out when the collection period is concluded to collect.)","Which UX Dark Patterns do you think might be involved (if any)? (Check all that apply)   

Patterns are from Appendix A of  2022 US FTC Staff Report ""Bringing Dark Patterns to Light""","Anything else?","If you have screenshots or other documentation, you can upload  to 10 files of 100 MB in size via one submission."
"4/11/2025 12:07:48","ad5203c3dffa671aa1b432bbcae965c8","Yes","McDonald's Mobile App","Order food","Location services on mobile devices HAS to on to access any of the store locations and menus. Essentially, the app is unusable without location services being enabled with permissions given to the application. Other restaurant apps typically ask for a zip code and search for the nearest locations, but not McDonald's.","Privacy vulnerabilities, location data collection, and the general nuisance of having to turn on location services when using the app and turning it off after making an order.",3,"No","Asymmetric Choice (Trick questions, Confirm shaming, Preselection, Subverting privacy preferences)","No.",NA
"4/11/2025 13:04:08","06d3072d93fc75ea32a19bfe29a6e3ff","Yes","Edikted (clothing website) Edikted.com","purchase clothing from an online website","When I came across the page about shipping and final steps there was a prechecked box for an optional service fee.","If i hadn't looked closely I would have spent more money then I wanted to.",2,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/11/2025 14:55:50","e94283a9999414873bbe32414e2ea914","Yes","ZipRecruiter: https://www.ziprecruiter.com/jobseeker/home","I was looking for jobs when I got an email from ZipRecruiter about employers not being able to find my resume","I already had my resume directly added to my profile, so them asking me to opt in to their resume database seemed strange to promote my resume more.","Encountering this pattern made me feel like my resume was not going to ever be found by recruiters because I had not been in their resume database. I felt like I would not be able to find an internship for the summer by using their service.",2,"Yes","Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"4/11/2025 16:18:38","eebb41618d019775c4a84d577c6f74ab","Unsure","Crunch Fitness 
https://www.crunch.com/","Cancel Membership","When applying for membership, you can apply online but when cancel, you need to be in person in the gym to cancel","It is a waste of time and even money because I cannot be there physically until next month due to being on a trip",3,"No","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts)",NA,NA
"4/11/2025 17:40:02","e084c1a6a1bf55da63003a87e0be9919","Yes","Shein – https://www.shein.com","I was trying to purchase a hoodie and check out.","During checkout, a popup showed a ""70% OFF ending in 00:02:00"" countdown. I reloaded the page twice and the timer reset every time.","Yes — It pressured me to buy quicker than I wanted. I almost skipped comparing prices because I thought I’d lose the discount.",3,"No","Urgency (Baseless countdown timer, False limited time message, False discount claims), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/11/2025 18:31:57","19fc85fa33a55276017f141140af6290","Yes","Warhammer 40k: Tacticus","Claim rewards for an in-game mission","The button for premium missions, which must be purchased with a real money transaction, is visually the same as the free quests, only differentiated by a small banner above the button. If pressed, the button opens a screen to make a purchase. The buttons in that screen to spend money are also visually similar, and there is a small timer displayed (though it is truthful).","It is a slight annoyance and wastes a small amount of my time, but this is a free mobile game and could easily trick someone else into making a purchase upwards of $24.",2,"Yes","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/11/2025 20:12:26","4d3cbbce081d1040b28c38a6a24842aa","Yes","Kilohearts (Newsletter). It is a company that produces audio plugins to use when making music.","Reading an e-mail from Kilohearts and attempting to unsubscribe since I no longer use their plugins.","When I scrolled down to unsubscribe, the link to unsubscribe was not underlined and very small.","Fortunately, I noticed fairly quickly. As such, it only caused me to look for a few more seconds to click the unsubscribe link as it didn't appear like a link. Overall, it was a minor annoyance at most.",2,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/11/2025 20:12:43","944adb58eba16be3107cc80dacfdf810","Yes","Fortive Career Page: https://fortive.eightfold.ai/careers/job/893379393197?pid=893379393197&recommended=1","Apply to an internship","The job was posted by a third party, when I clicked apply it redirected me to another site that prompted me to upload my resume. The style seemed unusual compared to other jobs I've applied to so I went back to the original link and clicked apply again and I was directed to the real website that was associated with the business and looked normal. I think the first redirect by the third party recruiting company tried to get me to upload my resume to steal my data.","It cost me a little extra time as I had to go through hoops to find the actual website, though I was discouraged from applying due to this experience.",3,"Yes","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/11/2025 21:10:59","ebd6f1c3b996944dae36a1cb3d57d4f9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/11/2025 21:43:25","886a1f7d4ddf80bb83ed8dcd5bf2d771","Yes","Shein App
https://us.shein.com/","I was browsing for clothes on the Shein app.","They offered a 31-day trial for only $0.01, but in small text at the bottom, it said the subscription would auto-renew for $9.99 for three months after the trial. The important cost information was hidden, and the design mostly focused on the $0.01 price to make users act quickly without noticing the auto-renewal.","It made me feel unsure about signing up. I spent extra time reading the fine print to make sure I wouldn’t be charged accidentally later. It also made me lose a little trust in the app.",3,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)","The ""Activate Now"" button is very bright and big compared to the small text about renewal, which feels like it was designed to push users into acting fast without reading carefully.",NA
